,gen,nevals,new_hof,coverage_avg,coverage_std,coverage_min,coverage_max,altitude_avg,altitude_std,altitude_min,altitude_max,costs_avg,costs_std,costs_min,costs_max
83,83,50,10,0.837950993989829,0.13866806822226066,0.6000924641701341,1.0,684.66,164.34884970695717,501.0,994.0,74.14,42.449975265010465,24.0,180.0
84,84,50,8,0.8427498844197874,0.14296134771244542,0.6000924641701341,1.0,684.8,159.54974146014777,501.0,994.0,75.22,42.111418878969154,24.0,180.0
85,85,50,5,0.8421729079981507,0.14234548472508435,0.6000924641701341,1.0,674.98,147.78260926103584,501.0,994.0,74.8,40.82744175184137,24.0,180.0
86,86,50,10,0.8413851132686083,0.14145542163731245,0.6000924641701341,1.0,680.24,151.07859676340658,501.0,994.0,74.2,40.73033267725664,24.0,180.0
87,87,50,8,0.8429810448451225,0.14289680461210275,0.6000924641701341,1.0,687.02,157.2832464059666,501.0,994.0,75.22,41.10050607960928,24.0,180.0
88,88,50,5,0.8399981507165974,0.13977970667727704,0.6000924641701341,1.0,685.38,158.63075237796738,501.0,994.0,74.74,42.11736458991707,24.0,180.0
89,89,50,5,0.8353490522422561,0.13680462321588113,0.6000924641701341,1.0,678.14,161.13038323047581,501.0,994.0,74.98,41.272988745667554,24.0,180.0
90,90,50,11,0.8346740638002774,0.13618883487721972,0.6000924641701341,1.0,682.88,162.46188968493504,501.0,994.0,74.0,41.44104245793052,24.0,180.0
91,91,50,12,0.8420379103097549,0.136296982735725,0.6000924641701341,1.0,702.78,163.64685025994237,501.0,994.0,72.36,41.85105016603526,24.0,180.0
92,92,50,8,0.8473952843273233,0.13506491222343514,0.6000924641701341,1.0,687.14,162.5685098658409,501.0,994.0,75.58,42.501807020407966,24.0,180.0
93,93,50,7,0.8492408691631992,0.1325207637369667,0.6000924641701341,1.0,685.38,161.1442695226858,501.0,994.0,75.06,42.428485714199134,24.0,180.0
94,94,50,8,0.8500305131761442,0.1350658297553012,0.6000924641701341,1.0,677.42,156.3940011637275,501.0,994.0,76.02,41.94305186797927,24.0,180.0
95,95,50,8,0.8518742487286175,0.13412642486782697,0.6000924641701341,1.0,683.26,154.87088945311834,501.0,994.0,76.08,42.385771197419544,24.0,180.0
96,96,50,8,0.8474341192787794,0.13547872926494656,0.6000924641701341,1.0,680.42,160.26042430993374,501.0,994.0,77.28,42.295645165903316,24.0,180.0
97,97,50,7,0.8483680073971336,0.13385341967926498,0.6000924641701341,1.0,677.52,163.4407831601403,501.0,994.0,78.22,41.74603693765433,24.0,180.0
98,98,50,8,0.8483680073971337,0.13340652825782368,0.6000924641701341,1.0,671.38,158.71759700801925,501.0,994.0,77.38,41.33032300865794,24.0,180.0
99,99,50,9,0.8591123439667129,0.13231459042884539,0.6000924641701341,1.0,691.32,161.8344141398856,501.0,994.0,76.02,41.588214676756685,24.0,180.0
100,100,50,12,0.8580138696255201,0.13661888389006044,0.6000924641701341,1.0,696.76,161.72910189573182,501.0,994.0,75.46,41.72874788440219,24.0,180.0
